time_ps,amplitude
13.888888888889044,0.2733714891539116
38.88888888888905,0.7036281800468185
63.88888888888904,0.009502303044191307
88.88888888888904,-0.006573077401882177
113.88888888888904,0.008880382372997597
138.88888888888906,-0.01795751579582483
163.88888888888903,0.030142477663761214
188.88888888888906,-0.024978216339008985
213.88888888888906,0.029841812094453135
238.88888888888903,-0.026014539042143126
263.888888888889,0.025042513776258657
288.8888888888891,-0.020941569247334813
313.888888888889,0.01957602298043215
338.888888888889,-0.013795546577345275
363.8888888888891,0.012392628442281395
388.888888888889,-0.007686912767295606
413.888888888889,0.0060708723092777195
438.8888888888891,-0.0020932071036073863
463.888888888889,0.0011870090928179922
488.8888888888891,0.001683060867737174
513.8888888888891,-0.001800964667729943
538.8888888888891,0.003982663412873899
563.8888888888891,-0.003313466071168669
588.888888888889,0.004464524482123089
613.888888888889,-0.003474053562186441
638.8888888888891,0.004072742489154457
663.8888888888891,-0.0027448302648858114
688.8888888888891,0.0029667842364964336
713.8888888888891,-0.0015623825228114896
738.888888888889,0.001814198355214014
763.888888888889,-0.00045603991855025505
788.8888888888891,0.000627304999627265
813.8888888888891,0.0003474423311156105
838.8888888888891,-0.00005640565180686785
863.8888888888891,0.0009076337316717975
888.8888888888891,-0.0003240305307854463
913.888888888889,0.0010273129040541118
938.8888888888891,-0.00038795057216711726
963.8888888888891,0.000767227351874844
988.8888888888891,-0.000189213900023244
1013.8888888888891,0.0005902612950827724
1038.8888888888891,0.00019979116247692552
1063.8888888888891,0.0002734782288889015
1088.8888888888891,0.0003282869883141082
1113.8888888888891,0.00002598811576270954
1138.888888888889,0.0005140122931763802
1163.8888888888891,0.000022466171023971526
1188.8888888888891,0.000547220444232499
1213.8888888888891,0.00003942867458239796
1238.8888888888891,0.0004312993468740256
1263.8888888888891,0.00011603915863966918
1288.8888888888891,0.00031023583884626227
1313.8888888888891,0.0002716065632075715
1338.8888888888891,0.00022567225081382425
1363.8888888888891,0.00035210265568585974
1388.8888888888891,0.00013259420078148842
1413.8888888888891,0.00038502481926538934
1438.8888888888891,0.00013053594792600265
1463.8888888888891,0.0003610389888679677
1488.8888888888891,0.00015900861274031897
1513.8888888888891,0.00031537991631380713
1538.8888888888891,0.0002356892712866987
1563.8888888888891,0.0002402601732256482
1588.8888888888891,0.0002737896557460928
1613.8888888888891,0.0001802304786611142
1638.8888888888891,0.0003151097977793782
1663.8888888888891,0.00015133536982503415
1688.8888888888891,0.00031060843353780676
1713.8888888888891,0.00016321431864718683
1738.8888888888891,0.0002981438630371702
1763.8888888888891,0.00018607721552532652
1788.8888888888891,0.0002363562893328286
1813.8888888888891,0.0002091020327532611
1838.8888888888891,0.00020227202831302193
1863.888888888889,0.0002519606739930236
1888.8888888888891,0.00018684324655504625
1913.888888888889,0.0002644125881512416
1938.8888888888887,0.00016360236658830019
1963.888888888889,0.00023209113194666564
1988.8888888888887,0.00017006069190972362
2013.888888888889,0.0002352724215703983
2038.888888888889,0.0002176459605667258
2063.888888888889,0.00020076743215402537
2088.8888888888887,0.0002118134172721664
2113.888888888889,0.00016548381424330572
2138.8888888888887,0.00024116304241106334
2163.888888888889,0.00017438532288460706
2188.8888888888887,0.00025022588187550987
2213.888888888889,0.00017150219000727773
2238.888888888889,0.00023074128855493647
2263.8888888888887,0.00017567427673204072
2288.888888888889,0.00021442950026440144
2313.8888888888887,0.00020337784948010196
2338.888888888889,0.00020625479779190492
2363.8888888888887,0.0002143679977961721
2388.888888888889,0.00018648006430699304
2413.8888888888887,0.0002196967437739783
2438.888888888889,0.00018648678289578946
2463.8888888888887,0.00021505069135319133
2488.888888888889,0.00018911030257307004
2513.888888888889,0.00020854371736023225
2538.888888888889,0.00020536747134114464
2563.888888888889,0.00019237210420608442
2588.8888888888887,0.0002088941580713488
2613.888888888889,0.00017827939529468928
2638.8888888888887,0.00021796293980602677
2663.888888888889,0.00017025314264706992
