phase,high,low,opening
0,-0.6937988953523924,0.6937988953523924,-1.3875977907047847
1,-0.6674811212208567,0.6674811212208567,-1.3349622424417134
2,-0.6393423752339732,0.6393423752339732,-1.2786847504679464
3,-0.6094406249395978,0.6094406249395978,-1.2188812498791957
4,-0.577848288023915,0.577848288023915,-1.15569657604783
5,-0.5447002569459118,0.5447002569459118,-1.0894005138918237
6,-0.5119402745419941,0.5119402745419941,-1.0238805490839882
7,-0.4776782891845266,0.4776782891845266,-0.9553565783690532
8,-0.44272298578472874,0.44272298578472874,-0.8854459715694575
9,-0.4069429758264702,0.4069429758264702,-0.8138859516529404
10,-0.3700046248187462,0.3700046248187462,-0.7400092496374924
11,-0.332156141924604,0.332156141924604,-0.664312283849208
12,-0.29343876836416616,0.29343876836416616,-0.5868775367283323
13,-0.25406011333932466,0.25406011333932466,-0.5081202266786493
14,-0.21591154441282917,0.21591154441282917,-0.43182308882565834
15,-0.17884209811640872,0.17884209811640872,-0.35768419623281744
16,-0.14368846821310832,0.14368846821310832,-0.28737693642621664
17,-0.10808373351276057,0.10808373351276057,-0.21616746702552114
18,-0.07180452905336632,0.07180452905336632,-0.14360905810673263
19,-0.0395929340202672,0.0395929340202672,-0.0791858680405344
20,-0.010154696501556204,0.010154696501556204,-0.020309393003112408
21,0.019496001408621955,-0.019496001408621955,0.03899200281724391
22,0.04872383680416392,-0.04872383680416392,0.09744767360832784
23,0.0780478447435663,-0.0780478447435663,0.1560956894871326
24,0.10725199742852726,-0.10725199742852726,0.21450399485705451
25,0.13629362701225334,-0.13629362701225334,0.2725872540245067
26,0.16507929442497016,-0.16507929442497016,0.3301585888499403
27,0.19361706164610687,-0.19361706164610687,0.38723412329221374
28,0.22167083507135338,-0.22167083507135338,0.44334167014270676
29,0.2410895802659796,-0.2410895802659796,0.4821791605319592
30,0.256882576738878,-0.256882576738878,0.513765153477756
31,0.27165057248699503,-0.27165057248699503,0.5433011449739901
32,0.2860725556141783,-0.2860725556141783,0.5721451112283567
33,0.29971851480021583,-0.29971851480021583,0.5994370296004317
34,0.31327166274160967,-0.31327166274160967,0.6265433254832193
35,0.3262491749292559,-0.3262491749292559,0.6524983498585119
36,0.3389281604988968,-0.3389281604988968,0.6778563209977936
37,0.35121641535989523,-0.35121641535989523,0.7024328307197905
38,0.36303971449001216,-0.36303971449001216,0.7260794289800243
39,0.37400148915826603,-0.37400148915826603,0.7480029783165321
40,0.37063121160047485,-0.37063121160047485,0.7412624232009497
41,0.35942897764732784,-0.35942897764732784,0.7188579552946557
42,0.3490830047870282,-0.3490830047870282,0.6981660095740564
43,0.33958767218757047,-0.33958767218757047,0.6791753443751409
44,0.32929086835761434,-0.32929086835761434,0.6585817367152287
45,0.3193221921688738,-0.3193221921688738,0.6386443843377476
46,0.309351776711119,-0.309351776711119,0.618703553422238
47,0.29972668768079636,-0.29972668768079636,0.5994533753615927
48,0.290631372915593,-0.290631372915593,0.581262745831186
49,0.2820744620814997,-0.2820744620814997,0.5641489241629994
50,0.2740686626235955,-0.2740686626235955,0.548137325247191
51,0.2665904974233587,-0.2665904974233587,0.5331809948467174
52,0.2596224641286655,-0.2596224641286655,0.519244928257331
53,0.2523933831343195,-0.2523933831343195,0.504786766268639
54,0.24307829263868264,-0.24307829263868264,0.48615658527736527
55,0.23361402381723007,-0.23361402381723007,0.46722804763446013
56,0.22381185176228047,-0.22381185176228047,0.44762370352456093
57,0.21475413094906293,-0.21475413094906293,0.42950826189812585
58,0.20579922363812714,-0.20579922363812714,0.4115984472762543
59,0.1968238635731931,-0.1968238635731931,0.3936477271463862
60,0.18856059617285903,-0.18856059617285903,0.37712119234571806
61,0.18077894751927626,-0.18077894751927626,0.3615578950385525
62,0.1729500335348798,-0.1729500335348798,0.3459000670697596
63,0.1637496749104566,-0.1637496749104566,0.3274993498209132
