freq_ghz,s21_db
0.1,-0.10286832952064065
0.1398798,-0.12339188890073396
0.17975950000000002,-0.14157493044912764
0.2196393,-0.15816820878011856
0.259519,-0.1735905564636262
0.2993988,-0.18810394243449077
0.33927860000000004,-0.2018851532863427
0.3791583,-0.2150601629993554
0.4190381,-0.22772249713675158
0.45891780000000004,-0.23994385065532725
0.4987976,-0.25178061958796133
0.5386774000000001,-0.2632781160604024
0.5785571,-0.27447339517674346
0.6184369000000001,-0.2853972226243326
0.6583166,-0.2960754721997268
0.6981964,-0.30653015241665904
0.7380762000000001,-0.31678016752985894
0.7779559,-0.3268419001253464
0.8178357,-0.3367296561586731
0.8577154,-0.34645601672262766
0.8975952,-0.35603211695422715
0.9374749000000001,-0.3654678664302604
0.9773547,-0.374772131625278
1.017234,-0.38395288412419304
1.057114,-0.3930173195511443
1.096994,-0.4019719613090992
1.1368740000000002,-0.41082274529966384
1.176754,-0.41957509075746013
1.216633,-0.4282339613749929
1.256513,-0.43680391764604704
1.2963930000000001,-0.44528916084304676
1.336273,-0.45369356961304813
1.376152,-0.4620207392277891
1.4160320000000002,-0.4702740021627613
1.455912,-0.47845645979986556
1.495792,-0.48657100265400843
1.535671,-0.494620328981778
1.5755510000000001,-0.502606963619749
1.615431,-0.5105332727975743
1.6553110000000002,-0.5184014759635773
1.6951900000000002,-0.5262136615449056
1.7350700000000001,-0.5339717944799494
1.77495,-0.5416777291672698
1.8148300000000002,-0.5493332136051161
1.8547090000000002,-0.5569399041246827
1.894589,-0.5644993632610138
1.9344690000000002,-0.5720130775329658
1.9743490000000001,-0.5794824527301343
2.014228,-0.5869088267298757
2.0541080000000003,-0.5942934696977591
2.093988,-0.6016375904806915
2.133868,-0.6089423436424573
2.173747,-0.6162088255450724
2.2136270000000002,-0.6234380857197079
2.253507,-0.6306311259201198
2.293387,-0.6377889028880226
2.333267,-0.6449123324085294
2.373146,-0.6520022922266253
2.4130260000000003,-0.65905962077098
2.452906,-0.6660851256819968
2.492786,-0.6730795792809265
2.532665,-0.6800437239324248
2.5725450000000003,-0.6869782724752038
2.612425,-0.6938839097406285
2.652305,-0.7007612971186974
2.692184,-0.7076110678627274
2.7320640000000003,-0.7144338339716525
2.771944,-0.7212301847452625
2.811824,-0.7280006888643886
2.851703,-0.7347458921811614
2.8915830000000002,-0.7414663254350873
2.9314630000000004,-0.7481624987753019
2.971343,-0.7548349054943827
3.011222,-0.7614840230767282
3.051102,-0.768110311611684
3.0909820000000003,-0.7747142184071288
3.130862,-0.7812961744516723
3.170741,-0.7878565983436542
3.210621,-0.7943958944935338
3.2505010000000003,-0.8009144554470826
3.290381,-0.807412662731188
3.330261,-0.8138908836118117
3.37014,-0.8203494770330186
3.4100200000000003,-0.8267887907718535
3.4499000000000004,-0.8332091610195831
3.48978,-0.8396109152454196
3.529659,-0.8459943725889595
3.5695390000000002,-0.8523598419774336
3.6094190000000004,-0.858707623733018
3.649299,-0.8650380103217772
3.689178,-0.8713512870913115
3.729058,-0.8776477282566628
3.7689380000000003,-0.8839276064650841
3.808818,-0.8901911809946179
3.848697,-0.8964387086966614
3.888577,-0.90267043867567
3.9284570000000003,-0.9088866119289172
3.9683370000000004,-0.9150874658863705
4.008216,-0.9212732307120753
4.048096,-0.9274441312603908
4.087976,-0.9336003863385062
4.127856,-0.9397422089023719
4.167735,-0.9458698089683653
4.2076150000000005,-0.9519833900517678
4.247495000000001,-0.9580831502657712
4.287375,-0.9641692840791096
4.327255,-0.9702419810192922
4.367134,-0.9763014269813229
4.407014,-0.9823478026195164
4.446894,-0.9883812850627917
4.4867740000000005,-0.9944020475143057
4.5266530000000005,-1.0004102580605054
4.566533000000001,-1.0064060838497149
4.606413,-1.012389686512857
4.646293,-1.018361224061287
4.686172,-1.0243208510100175
4.726052,-1.0302687194910463
4.765932,-1.0362049790405785
4.805812,-1.042129773356547
4.845691,-1.048043245460324
4.8855710000000006,-1.0539455350190206
4.925451000000001,-1.0598367788152019
4.965331,-1.0657171105167376
5.00521,-1.0715866618728898
5.04509,-1.0774455601994413
5.08497,-1.083293932382732
5.12485,-1.0891319022658614
5.164729,-1.0949595913122732
5.2046090000000005,-1.1007771169627945
5.244489000000001,-1.106584596246276
5.284369000000001,-1.112382145145153
5.324248000000001,-1.1181698741729806
5.364128,-1.1239478930255566
5.404008,-1.1297163122821625
5.443888,-1.1354752346362038
5.483768,-1.1412247674834626
5.523647,-1.1469650114495868
5.5635270000000006,-1.1526960664158568
5.603407000000001,-1.1584180324495132
5.643287,-1.1641310058576821
5.683166,-1.169835081029468
5.723046,-1.1755303520109655
5.762926,-1.181216910405525
5.802806,-1.1868948476577244
5.842685,-1.1925642513982362
5.8825650000000005,-1.1982252080740794
5.922445000000001,-1.2038778057690598
5.962325000000001,-1.2095221266553202
6.002204000000001,-1.2151582545852457
6.042084,-1.2207862716705145
6.081964,-1.22640625635899
6.121844,-1.2320182892355493
6.161723,-1.2376224470442652
6.201603,-1.2432188051379085
6.241483000000001,-1.2488074408706278
6.281363000000001,-1.2543884272646368
6.321242000000001,-1.2599618358100015
6.361122000000001,-1.2655277388539745
6.401002,-1.271086207959598
6.440882,-1.2766373117109362
6.480762,-1.2821811176175175
6.520641,-1.2877176933998284
6.5605210000000005,-1.293247106605897
6.600401000000001,-1.2987694201578832
6.640281000000001,-1.3042847004723668
6.680160000000001,-1.3097930086159675
6.72004,-1.3152944096349752
6.75992,-1.32078896212793
6.7998,-1.3262767289853485
6.839679,-1.3317577678558221
6.879559,-1.3372321393112756
6.919439000000001,-1.3426998996984052
6.959319000000001,-1.3481611068501236
6.999198000000001,-1.3536158169576218
7.039078000000001,-1.3590640853962135
7.078958,-1.3645059672552997
7.118838,-1.3699415153035561
7.158717,-1.3753707841338538
7.198597,-1.380793824452344
7.2384770000000005,-1.3862106894938862
7.278357000000001,-1.3916214297848821
7.318236000000001,-1.3970260950206224
7.358116000000001,-1.4024247347022145
7.397996000000001,-1.4078173994887027
7.437876,-1.4132041354641445
7.477756,-1.418584991515729
7.517635,-1.4239600147058415
7.557515,-1.4293292500709276
7.597395000000001,-1.4346927444414381
7.637275000000001,-1.4400505434009756
7.677154000000001,-1.445402691038811
7.717034000000001,-1.4507492301296823
7.756914,-1.4560902056731617
7.796794,-1.461425660070803
7.836673,-1.4667556354769375
7.876553,-1.472080173363389
7.9164330000000005,-1.477399315727837
7.956313000000001,-1.4827131027684415
7.996192000000001,-1.4880215752962525
8.036072,-1.493324771376171
8.075952000000001,-1.4986227317689995
8.115832000000001,-1.5039154954401301
8.155711,-1.5092030999980874
8.195591,-1.5144855834000444
8.235471,-1.5197629829829162
8.275351,-1.5250353347646866
8.31523,-1.5303026766708858
8.35511,-1.535565043011666
8.39499,-1.5408224710455032
8.43487,-1.5460749955677764
8.474749000000001,-1.5513226500714419
8.514629000000001,-1.5565654707145926
8.554509000000001,-1.561803490159555
8.594389000000001,-1.5670367420311395
8.634269,-1.5722652596729658
8.674148,-1.577489075496019
8.714028,-1.5827082231972087
8.753908000000001,-1.5879227329171743
8.793788000000001,-1.5931326381341935
8.833667,-1.5983379687886268
8.873547,-1.6035387555303853
8.913427,-1.608735030339392
8.953307,-1.613926823713682
8.993186,-1.6191141639907132
9.033066,-1.6242970810987798
9.072946,-1.6294756049518886
9.112826,-1.6346497648699043
9.152705000000001,-1.6398195883397395
9.192585000000001,-1.644985103016898
9.232465000000001,-1.6501463394465163
9.272345000000001,-1.6553033235924004
9.312224,-1.6604560820326775
9.352104,-1.665604644830666
9.391984,-1.6707490354540724
9.431864000000001,-1.6758892828592185
9.471743,-1.6810254113112686
9.511623,-1.686157449400433
9.551503,-1.6912854202756247
9.591383,-1.6964093504461617
9.631263,-1.7015292648122595
9.671142000000001,-1.7066451895496693
9.711022,-1.711757147349498
9.750902,-1.7168651642893256
9.790782,-1.7219692636866268
9.830661000000001,-1.7270694689674286
9.870541000000001,-1.7321658043672696
9.910421000000001,-1.7372582940017396
9.950301000000001,-1.7423469599962085
9.99018,-1.7474318264358901
10.03006,-1.7525129148072902
10.06994,-1.757590247838754
10.109820000000001,-1.7626638478665853
10.149700000000001,-1.7677337379366738
10.189580000000001,-1.7727999392441907
10.229460000000001,-1.7778624729559136
10.269340000000001,-1.7829213614454964
10.30922,-1.7879766248311613
10.3491,-1.7930282843294234
10.38898,-1.7980763620663034
10.42886,-1.803120876955471
10.46874,-1.8081618502831196
10.50862,-1.813199302186188
10.5485,-1.8182332528599527
10.58838,-1.823263721578118
10.628260000000001,-1.8282907279711735
10.668140000000001,-1.8333142925244532
10.708020000000001,-1.8383344337243406
10.747900000000001,-1.8433511711134245
10.787780000000001,-1.848364522905249
10.82766,-1.853374508313873
10.86754,-1.8583811447762635
10.90741,-1.8633844539113278
10.94729,-1.8683844504475622
10.98717,-1.8733811543633414
11.027050000000001,-1.8783745820945896
11.066930000000001,-1.8833647532730433
11.106810000000001,-1.8883516842173727
11.146690000000001,-1.893335393684186
11.186570000000001,-1.8983158970426104
11.22645,-1.9032932126502542
11.26633,-1.908267357327626
11.30621,-1.913238346950976
11.34609,-1.9182062001770879
11.38597,-1.9231709317974266
11.42585,-1.9281325593337626
11.46573,-1.933091097969786
11.50561,-1.9380465641408513
11.545490000000001,-1.94299897349099
11.585370000000001,-1.94794834292347
11.625250000000001,-1.9528946877168984
11.665130000000001,-1.9578380227391066
11.705010000000001,-1.9627783645438754
11.744890000000002,-1.9677157269825334
11.78477,-1.9726501263368594
11.82465,-1.9775815778954156
11.86453,-1.9825100950353005
11.90441,-1.987435694440798
11.94429,-1.9923583889044663
11.98417,-1.9972781938398079
12.02405,-2.0021951244580865
12.063930000000001,-2.0071091929450464
12.103810000000001,-2.012020415792875
12.143690000000001,-2.0169288058087576
12.183570000000001,-2.021834377556911
12.223450000000001,-2.0267371440045707
12.263330000000002,-2.031637119608142
12.30321,-2.036534317511883
12.34309,-2.0414287508889344
12.38297,-2.046320434717654
12.42285,-2.051209380103305
12.46273,-2.05609560241672
12.50261,-2.0609791122415047
12.542480000000001,-2.065859924655827
12.582360000000001,-2.0707380524421497
12.622240000000001,-2.0756135062575476
12.662120000000002,-2.0804863013643757
12.702,-2.085356448420021
12.74188,-2.090223961334712
12.78176,-2.0950888515941988
12.82164,-2.099951130827751
12.86152,-2.10481081283203
12.9014,-2.1096679089024946
12.94128,-2.114522430458685
12.981160000000001,-2.119374389492193
13.021040000000001,-2.12422379948157
13.060920000000001,-2.129070669901127
13.100800000000001,-2.1339150135791116
13.140680000000001,-2.1387568415624125
13.180560000000002,-2.1435961653229882
13.22044,-2.148432997055399
13.26032,-2.153267346652867
13.3002,-2.158099226347011
13.34008,-2.1629286473068206
13.37996,-2.167755619787339
13.41984,-2.1725801545865786
13.45972,-2.177402263592418
13.499600000000001,-2.182221957060985
13.539480000000001,-2.1870392460293737
13.579360000000001,-2.191854139808111
13.619240000000001,-2.1966666506261583
13.659120000000001,-2.2014767882520596
13.699000000000002,-2.2062845636368937
13.73888,-2.211089985871297
13.77876,-2.2158930647623483
13.81864,-2.2206938133356173
13.85852,-2.2254922392322602
13.8984,-2.2302883530831132
13.93828,-2.235082164445568
13.97816,-2.239873683446252
14.018040000000001,-2.2446629205103528
14.057920000000001,-2.249449884453603
14.097800000000001,-2.2542345863016693
14.137680000000001,-2.2590170344462273
14.177560000000001,-2.263797237655187
14.21743,-2.2685752077393078
14.25731,-2.2733509524539244
14.29719,-2.2781244813146313
14.33707,-2.2828958036172815
14.37695,-2.287664928355638
14.416830000000001,-2.292431865917193
14.456710000000001,-2.2971966241613275
14.496590000000001,-2.301959212410392
14.536470000000001,-2.3067196387036266
14.576350000000001,-2.3114779139481776
14.616230000000002,-2.316234045369871
14.656110000000002,-2.320988041884067
14.69599,-2.3257399134694614
14.73587,-2.3304896668994783
14.77575,-2.335237311679778
14.81563,-2.3399828563786125
14.85551,-2.34472631051523
14.89539,-2.3494676805737305
14.935270000000001,-2.3542069757832422
14.975150000000001,-2.3589442037509096
15.015030000000001,-2.363679374445826
15.054910000000001,-2.368412495213469
15.094790000000001,-2.37314357277256
15.134670000000002,-2.3778726170879985
15.174550000000002,-2.382599636415805
15.21443,-2.3873246369332994
15.25431,-2.392047627599672
15.29419,-2.396768616882498
15.33407,-2.4014876104212477
15.37395,-2.406204618561812
15.41383,-2.41091964820902
15.453710000000001,-2.4156327063836134
15.493590000000001,-2.420343800474615
15.533470000000001,-2.4250529394111062
15.573350000000001,-2.4297601303190914
15.613230000000001,-2.4344653800208014
15.653110000000002,-2.4391686963170662
15.692990000000002,-2.4438700865743215
15.73287,-2.4485695583263354
15.77275,-2.453267117225939
15.81263,-2.4579627736360616
15.85251,-2.462656532547963
15.892380000000001,-2.4673484014664124
15.932260000000001,-2.4720383878421486
15.972140000000001,-2.476726498657
16.01202,-2.4814127408120106
16.0519,-2.4860971221202686
16.09178,-2.490779647159687
16.13166,-2.4954603246391796
16.17154,-2.5001391622406963
16.21142,-2.504816164479091
16.2513,-2.5094913397675938
16.29118,-2.514164695042079
16.33106,-2.5188362349323357
16.37094,-2.523505969228001
16.41082,-2.5281739015464515
16.4507,-2.5328400401178848
16.49058,-2.537504390795733
16.53046,-2.542166960215193
16.57034,-2.5468277543557494
16.61022,-2.55148678041723
16.650100000000002,-2.556144045522297
16.689980000000002,-2.5607995541695967
16.729860000000002,-2.5654533138123976
16.769740000000002,-2.570105329003962
16.809620000000002,-2.5747556082471874
16.849500000000003,-2.5794041576865725
16.889380000000003,-2.584050981420818
16.92926,-2.588696086452646
16.96914,-2.593339479662919
17.00902,-2.597981166159076
17.0489,-2.6026211531818317
17.08878,-2.607259444644294
17.12866,-2.611896047419635
17.16854,-2.6165309689026466
17.20842,-2.6211642125687167
17.2483,-2.625795786065617
17.28818,-2.630425693296697
17.32806,-2.6350539419847725
17.36794,-2.639680537000685
17.40782,-2.6443054843320386
17.4477,-2.648928788805262
17.48758,-2.6535504569567063
17.52745,-2.658170493352129
17.567330000000002,-2.6627889055130716
17.607210000000002,-2.667405697040872
17.647090000000002,-2.6720208734391724
17.686970000000002,-2.676634441661344
17.726850000000002,-2.681246406145856
17.766730000000003,-2.6858567725032034
17.806610000000003,-2.6904655449686206
17.846490000000003,-2.6950727312113587
17.88637,-2.699678335028637
17.92625,-2.704282362866623
17.96613,-2.7088848187602244
18.00601,-2.713485707518353
18.04589,-2.718085035556351
18.08577,-2.7226828072826423
18.12565,-2.7272790295318017
18.16553,-2.7318737051866444
18.20541,-2.736466840018723
18.24529,-2.741058438805007
18.28517,-2.745648508446854
18.32505,-2.7502370513945245
18.36493,-2.754824073454711
18.40481,-2.7594095809322017
18.44469,-2.7639935775926157
18.48457,-2.7685760686864356
18.52445,-2.773157057957125
18.56433,-2.7777365517853125
18.604210000000002,-2.782314554854391
18.644090000000002,-2.786891071227976
18.683970000000002,-2.791466105319417
18.723850000000002,-2.7960396632843127
18.763730000000002,-2.8006117480276753
18.803610000000003,-2.805182366348789
18.843490000000003,-2.8097515209608077
18.883370000000003,-2.8143192167655156
18.92325,-2.8188854597760393
18.96313,-2.82345025394846
19.00301,-2.828013603886314
19.04289,-2.8325755137722237
19.08277,-2.837135987932805
19.12265,-2.841695031249258
19.16253,-2.846252648575281
19.2024,-2.850808843581172
19.24228,-2.8553636205351394
19.28216,-2.859916985079211
19.32204,-2.8644689408231288
19.36192,-2.869019492374098
19.4018,-2.8735686429132317
19.44168,-2.8781163986419447
19.48156,-2.8826627620187146
19.521440000000002,-2.8872077393153877
19.561320000000002,-2.8917513330761304
19.601200000000002,-2.896293548130069
19.641080000000002,-2.9008343894372173
19.680960000000002,-2.9053738594985825
19.720840000000003,-2.909911963451903
19.760720000000003,-2.914448706161567
19.800600000000003,-2.9189840904429527
19.840480000000003,-2.9235181212885886
19.88036,-2.928050801805414
19.92024,-2.9325821363568587
19.96012,-2.9371121304824572
20,-2.941640786568545
