phase,high,low,opening
0,0.000000000006810171082182856,-0.000000000006810171082182856,0.000000000013620342164365711
1,0.000000000017562766428202138,-0.000000000017562766428202138,0.000000000035125532856404275
2,0.00000000000021530907479424618,-0.00000000000021530907479424618,0.00000000000043061814958849237
3,-0.00000000000019308015779928315,0.00000000000019308015779928315,-0.0000000000003861603155985663
4,0.00000000000019929448420042684,-0.00000000000019929448420042684,0.0000000000003985889684008537
5,-0.0000000000004771904835814388,0.0000000000004771904835814388,-0.0000000000009543809671628777
6,0.0000000000007306378032170283,-0.0000000000007306378032170283,0.0000000000014612756064340567
7,-0.0000000000006504341076627435,0.0000000000006504341076627435,-0.000000000001300868215325487
8,0.0000000000007229543318210318,-0.0000000000007229543318210318,0.0000000000014459086636420637
9,-0.0000000000006751507895535652,0.0000000000006751507895535652,-0.0000000000013503015791071304
10,0.0000000000006024878251893377,-0.0000000000006024878251893377,0.0000000000012049756503786753
11,-0.0000000000005474297286319458,0.0000000000005474297286319458,-0.0000000000010948594572638915
12,0.0000000000004659169469298185,-0.0000000000004659169469298185,0.000000000000931833893859637
13,-0.0000000000003682290744144989,0.0000000000003682290744144989,-0.0000000000007364581488289978
14,0.0000000000002871908018726757,-0.0000000000002871908018726757,0.0000000000005743816037453514
15,-0.00000000000021595771873636113,0.00000000000021595771873636113,-0.00000000000043191543747272226
16,0.00000000000012882575382682462,-0.00000000000012882575382682462,0.00000000000025765150765364924
17,-0.00000000000007770811108161244,0.00000000000007770811108161244,-0.00000000000015541622216322488
18,0.000000000000007368777018568584,-0.000000000000007368777018568584,0.000000000000014737554037137168
19,0.00000000000001666404472204684,-0.00000000000001666404472204684,0.00000000000003332808944409368
20,-0.00000000000006686478239661987,0.00000000000006686478239661987,-0.00000000000013372956479323973
21,0.00000000000007312501074414927,-0.00000000000007312501074414927,0.00000000000014625002148829854
22,-0.0000000000001051364631877846,0.0000000000001051364631877846,-0.0000000000002102729263755692
23,0.00000000000008496993004109406,-0.00000000000008496993004109406,0.00000000000016993986008218813
24,-0.00000000000010943422619328789,0.00000000000010943422619328789,-0.00000000000021886845238657578
25,0.00000000000007530050641659771,-0.00000000000007530050641659771,0.00000000000015060101283319542
26,-0.00000000000009180713842493954,0.00000000000009180713842493954,-0.00000000000018361427684987908
27,0.000000000000047690256917241645,-0.000000000000047690256917241645,0.00000000000009538051383448329
28,-0.00000000000006348705902152507,0.00000000000006348705902152507,-0.00000000000012697411804305014
29,0.00000000000001851058106698934,-0.00000000000001851058106698934,0.00000000000003702116213397868
30,-0.00000000000003657139062079181,0.00000000000003657139062079181,-0.00000000000007314278124158362
31,-0.00000000000001135379190838164,0.00000000000001135379190838164,-0.00000000000002270758381676328
32,-0.000000000000017509227890107214,0.000000000000017509227890107214,-0.00000000000003501845578021443
33,-0.00000000000002959689986720078,0.00000000000002959689986720078,-0.00000000000005919379973440156
34,-0.000000000000004245992335375363,0.000000000000004245992335375363,-0.000000000000008491984670750725
35,-0.00000000000003730047223225743,0.00000000000003730047223225743,-0.00000000000007460094446451486
36,-0.0000000000000022527071571138688,0.0000000000000022527071571138688,-0.0000000000000045054143142277375
37,-0.000000000000040866780315153396,0.000000000000040866780315153396,-0.00000000000008173356063030679
38,-0.000000000000009972804668696848,0.000000000000009972804668696848,-0.000000000000019945609337393696
39,-0.000000000000037638939870404005,0.000000000000037638939870404005,-0.00000000000007527787974080801
40,-0.00000000000001597187750360334,0.00000000000001597187750360334,-0.00000000000003194375500720668
41,-0.0000000000000302547368382435,0.0000000000000302547368382435,-0.000000000000060509473676487
42,-0.000000000000026162943677314578,0.000000000000026162943677314578,-0.000000000000052325887354629156
43,-0.00000000000002967612495438078,0.00000000000002967612495438078,-0.00000000000005935224990876157
44,-0.000000000000035761518062813354,0.000000000000035761518062813354,-0.00000000000007152303612562671
45,-0.00000000000002869650042058183,0.00000000000002869650042058183,-0.00000000000005739300084116366
46,-0.00000000000004015307079408642,0.00000000000004015307079408642,-0.00000000000008030614158817284
47,-0.00000000000003221297866924478,0.00000000000003221297866924478,-0.00000000000006442595733848956
48,-0.00000000000004567437176275178,0.00000000000004567437176275178,-0.00000000000009134874352550356
49,-0.00000000000004193196684878971,0.00000000000004193196684878971,-0.00000000000008386393369757942
50,-0.000000000000052284935080180334,0.000000000000052284935080180334,-0.00000000000010456987016036067
51,-0.00000000000005483104735435114,0.00000000000005483104735435114,-0.00000000000010966209470870229
52,-0.00000000000006076251752749034,0.00000000000006076251752749034,-0.00000000000012152503505498068
53,-0.00000000000007218758965603106,0.00000000000007218758965603106,-0.00000000000014437517931206212
54,-0.00000000000007777091705450341,0.00000000000007777091705450341,-0.00000000000015554183410900682
55,-0.00000000000009948353216478958,0.00000000000009948353216478958,-0.00000000000019896706432957915
56,-0.00000000000011008750986844137,0.00000000000011008750986844137,-0.00000000000022017501973688274
57,-0.00000000000014499508013449532,0.00000000000014499508013449532,-0.00000000000028999016026899064
58,-0.00000000000017381665319111644,0.00000000000017381665319111644,-0.00000000000034763330638223287
59,-0.0000000000002376775765468682,0.0000000000002376775765468682,-0.0000000000004753551530937364
60,-0.0000000000003216212098812095,0.0000000000003216212098812095,-0.000000000000643242419762419
61,-0.0000000000004873970565332773,0.0000000000004873970565332773,-0.0000000000009747941130665546
62,-0.000000000000815503632974307,0.000000000000815503632974307,-0.000000000001631007265948614
63,-0.0000000000017165683009872995,0.0000000000017165683009872995,-0.000000000003433136601974599
